#Date        Time         gpu    pwr  gtemp  mtemp   mclk   pclk 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C    MHz    MHz 
 20260904    09:01:39       0    202     30     31   3996   1965 
 20260904    09:01:40       0    201     30     31   3996   1965 
 20260904    09:01:41       0    201     30     31   3996   1965 
 20260904    09:01:42       0    201     30     31   3996   1965 
 20260904    09:01:43       0    201     30     31   3996   1965 
 20260904    09:01:44       0    201     30     31   3996   1965 
 20260904    09:01:45       0    201     30     31   3996   1965 
 20260904    09:01:46       0    201     30     31   3996   1965 
 20260904    09:01:47       0    201     30     31   3996   1965 
 20260904    09:01:48       0    201     30     31   3996   1965 
 20260904    09:01:49       0    201     30     31   3996   1965 
 20260904    09:01:50       0    201     30     31   3996   1965 
 20260904    09:01:51       0    201     30     31   3996   1965 
 20260904    09:01:52       0    201     30     31   3996   1965 
 20260904    09:01:53       0    201     30     31   3996   1965 
 20260904    09:01:54       0    201     30     31   3996   1965 
 20260904    09:01:55       0    201     30     31   3996   1965 
 20260904    09:01:56       0    201     30     31   3996   1965 
 20260904    09:01:57       0    201     30     31   3996   1965 
 20260904    09:01:58       0    202     30     31   3996   1965 
 20260904    09:01:59       0    201     30     31   3996   1965 
 20260904    09:02:00       0    201     30     31   3996   1965 
 20260904    09:02:01       0    201     30     31   3996   1965 
 20260904    09:02:02       0    202     30     31   3996   1965 
 20260904    09:02:03       0    202     30     31   3996   1965 
 20260904    09:02:04       0    201     30     31   3996   1965 
 20260904    09:02:05       0    201     30     31   3996   1965 
 20260904    09:02:06       0    201     30     31   3996   1965 
 20260904    09:02:07       0    201     30     31   3996   1965 
 20260904    09:02:08       0    202     30     31   3996   1965 
 20260904    09:02:09       0    201     30     31   3996   1965 
 20260904    09:02:10       0    202     30     31   3996   1965 
 20260904    09:02:11       0    201     30     31   3996   1965 
 20260904    09:02:12       0    201     30     31   3996   1965 
 20260904    09:02:13       0    201     30     31   3996   1965 
 20260904    09:02:14       0    201     30     31   3996   1965 
 20260904    09:02:15       0    201     30     31   3996   1965 
 20260904    09:02:16       0    202     30     31   3996   1965 
 20260904    09:02:17       0    505     35     45   3996   1965 
