#Date        Time         gpu    pwr  gtemp  mtemp   mclk   pclk 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C    MHz    MHz 
 20260904    09:02:21       0    203     31     32   3996   1965 
 20260904    09:02:22       0    202     30     32   3996   1965 
 20260904    09:02:23       0    203     30     32   3996   1965 
 20260904    09:02:24       0    310     34     38   3996   1965 
 20260904    09:02:25       0    300     31     33   3996   1965 
 20260904    09:02:26       0    257     33     36   3996   1965 
 20260904    09:02:27       0    251     31     34   3996   1965 
 20260904    09:02:28       0    274     31     33   3996   1965 
 20260904    09:02:29       0    261     31     32   3996   1965 
 20260904    09:02:30       0    268     31     32   3996   1965 
 20260904    09:02:31       0    250     31     32   3996   1965 
 20260904    09:02:32       0    246     31     32   3996   1965 
 20260904    09:02:33       0    308     32     38   3996   1965 
 20260904    09:02:34       0    267     31     33   3996   1965 
 20260904    09:02:35       0    321     32     34   3996   1965 
 20260904    09:02:36       0    313     32     38   3996   1965 
 20260904    09:02:37       0    267     33     39   3996   1965 
 20260904    09:02:38       0    263     33     39   3996   1965 
 20260904    09:02:39       0    249     34     37   3996   1965 
 20260904    09:02:40       0    258     31     33   3996   1965 
 20260904    09:02:41       0    294     32     36   3996   1965 
 20260904    09:02:42       0    265     31     33   3996   1965 
 20260904    09:02:43       0    266     31     33   3996   1965 
 20260904    09:02:44       0    325     32     33   3996   1965 
 20260904    09:02:45       0    329     32     38   3996   1965 
 20260904    09:02:46       0    203     31     33   3996   1965 
 20260904    09:02:47       0    257     31     33   3996   1965 
 20260904    09:02:48       0    203     31     32   3996   1965 
 20260904    09:02:49       0    258     31     33   3996   1965 
 20260904    09:02:50       0    203     31     32   3996   1965 
 20260904    09:02:51       0    313     32     39   3996   1965 
 20260904    09:02:52       0    296     35     39   3996   1965 
