#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260904    08:47:46       0    202     30     31 
 20260904    08:47:47       0    202     30     31 
 20260904    08:47:48       0    202     30     31 
 20260904    08:47:49       0    201     30     31 
 20260904    08:47:50       0    201     30     31 
 20260904    08:47:51       0    201     30     31 
 20260904    08:47:52       0    201     30     31 
 20260904    08:47:53       0    201     30     31 
 20260904    08:47:54       0    201     30     31 
 20260904    08:47:55       0    201     30     31 
 20260904    08:47:56       0    201     30     31 
 20260904    08:47:57       0    201     30     31 
 20260904    08:47:58       0    202     30     31 
 20260904    08:47:59       0    201     30     31 
 20260904    08:48:00       0    201     30     31 
 20260904    08:48:01       0    201     30     31 
 20260904    08:48:02       0    201     30     31 
 20260904    08:48:03       0    202     30     31 
 20260904    08:48:04       0    201     30     31 
 20260904    08:48:05       0    201     30     31 
 20260904    08:48:06       0    202     30     31 
 20260904    08:48:07       0    202     30     31 
 20260904    08:48:08       0    202     30     31 
 20260904    08:48:09       0    202     30     31 
 20260904    08:48:10       0    202     30     31 
 20260904    08:48:11       0    202     30     31 
 20260904    08:48:12       0    202     30     31 
 20260904    08:48:13       0    202     30     31 
 20260904    08:48:14       0    202     30     31 
 20260904    08:48:15       0    202     30     31 
 20260904    08:48:16       0    202     30     31 
 20260904    08:48:17       0    202     30     31 
 20260904    08:48:18       0    202     30     31 
 20260904    08:48:19       0    202     30     31 
 20260904    08:48:20       0    202     30     31 
 20260904    08:48:21       0    202     30     31 
 20260904    08:48:22       0    202     30     31 
 20260904    08:48:23       0    202     30     31 
 20260904    08:48:24       0    202     30     31 
 20260904    08:48:25       0    201     30     31 
 20260904    08:48:26       0    202     30     31 
 20260904    08:48:27       0    522     35     45 
