#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260904    08:48:31       0    203     31     32 
 20260904    08:48:32       0    202     30     32 
 20260904    08:48:33       0    202     30     32 
 20260904    08:48:34       0    274     31     32 
 20260904    08:48:35       0    322     35     38 
 20260904    08:48:36       0    239     31     36 
 20260904    08:48:37       0    243     31     32 
 20260904    08:48:38       0    223     31     32 
 20260904    08:48:39       0    274     31     32 
 20260904    08:48:40       0    264     31     32 
 20260904    08:48:41       0    261     31     32 
 20260904    08:48:42       0    280     32     33 
 20260904    08:48:43       0    225     31     32 
 20260904    08:48:44       0    305     35     36 
 20260904    08:48:45       0    268     31     33 
 20260904    08:48:46       0    326     35     40 
 20260904    08:48:47       0    262     31     33 
 20260904    08:48:48       0    251     31     32 
 20260904    08:48:49       0    269     31     32 
 20260904    08:48:50       0    261     31     33 
 20260904    08:48:51       0    251     31     32 
 20260904    08:48:52       0    293     32     39 
 20260904    08:48:53       0    241     31     33 
 20260904    08:48:54       0    266     31     33 
 20260904    08:48:55       0    266     31     33 
 20260904    08:48:56       0    328     32     34 
 20260904    08:48:57       0    325     35     38 
 20260904    08:48:58       0    217     31     33 
 20260904    08:48:59       0    234     32     32 
 20260904    08:49:00       0    226     31     33 
 20260904    08:49:01       0    219     31     32 
 20260904    08:49:02       0    247     31     32 
 20260904    08:49:03       0    241     32     37 
 20260904    08:49:04       0    282     32     33 
 20260904    08:49:05       0    288     31     33 
